temp_bkrm_space_dept_clas.bkrm_loc_item_oh_d,temp_bkrm_space_dept_clas.co_loc_ref_i,temp_bkrm_space_dept_clas.dept,temp_bkrm_space_dept_clas.class,temp_bkrm_space_dept_clas.cubic_vol
4/4/17,1375,204,6,88784.0097
4/5/17,1375,204,6,90575.35663
4/6/17,1375,204,6,83879.56663
4/7/17,1375,204,6,81669.06663
4/8/17,1375,204,6,82638.69063
4/9/17,1375,204,6,80650.16273
4/10/17,1375,204,6,81749.32987
4/11/17,1375,204,6,79516.15087
4/12/17,1375,204,6,82554.6307
4/13/17,1375,204,6,81373.0307
4/14/17,1375,204,6,85138.92223
4/15/17,1375,204,6,85710.74983
4/16/17,1375,204,6,85693.09703
4/17/17,1375,204,6,85693.09703
4/18/17,1375,204,6,83381.64892
4/19/17,1375,204,6,59206.35173
4/20/17,1375,204,6,65833.4163
4/21/17,1375,204,6,68415.1038
4/22/17,1375,204,6,66563.6138
4/23/17,1375,204,6,58092.8438
4/24/17,1375,204,6,58794.5188
4/25/17,1375,204,6,46143.3908
4/26/17,1375,204,6,48223.3908
4/27/17,1375,204,6,48223.3908
4/28/17,1375,204,6,47332.5908
4/29/17,1375,204,6,46132.5908
4/30/17,1375,204,6,44015.7908
5/1/17,1375,204,6,44015.7908
5/2/17,1375,204,6,43159.3628
5/3/17,1375,204,6,44015.7908
5/4/17,1375,204,6,44015.7908
5/5/17,1375,204,6,37194.1653
5/6/17,1375,204,6,37194.1653
5/7/17,1375,204,6,40518.3953
5/8/17,1375,204,6,40518.3953
5/9/17,1375,204,6,41096.25733
5/10/17,1375,204,6,31125.4723
5/11/17,1375,204,6,32986.8703
5/12/17,1375,204,6,32986.8703
5/13/17,1375,204,6,32181.0463
5/14/17,1375,204,6,25855.4823
5/15/17,1375,204,6,30746.2423
5/16/17,1375,204,6,37071.8063
5/17/17,1375,204,6,40455.64723
5/18/17,1375,204,6,42451.65421
5/19/17,1375,204,6,41795.04683
5/20/17,1375,204,6,41571.04683
5/21/17,1375,204,6,41705.32053
5/22/17,1375,204,6,41705.32053
5/23/17,1375,204,6,55204.81322
5/24/17,1375,204,6,55204.81322
5/25/17,1375,204,6,48879.24922
5/26/17,1375,204,6,48879.24922
5/27/17,1375,204,6,46762.44922
5/28/17,1375,204,6,53088.01322
5/29/17,1375,204,6,53088.01322
5/30/17,1375,204,6,54063.21322
5/31/17,1375,204,6,54063.21322
6/1/17,1375,204,6,54063.21322
6/2/17,1375,204,6,54063.21322
6/3/17,1375,204,6,52780.71322
6/4/17,1375,204,6,52780.71322
6/5/17,1375,204,6,59214.95222
6/6/17,1375,204,6,59136.75222
6/7/17,1375,204,6,57275.35422
6/8/17,1375,204,6,50457.98238
6/9/17,1375,204,6,88003.121
6/10/17,1375,204,6,90394.156
6/11/17,1375,204,6,90394.156
6/12/17,1375,204,6,90641.656
6/13/17,1375,204,6,90993.7616
6/14/17,1375,204,6,90993.7616
6/15/17,1375,204,6,86760.1616
6/16/17,1375,204,6,88876.9616
6/17/17,1375,204,6,88876.9616
6/18/17,1375,204,6,89005.5446
6/19/17,1375,204,6,91670.94764
6/20/17,1375,204,6,91670.94764
6/21/17,1375,204,6,91670.94764
6/22/17,1375,204,6,83200.17764
6/23/17,1375,204,6,77880.17764
6/24/17,1375,204,6,77880.17764
6/25/17,1375,204,6,77880.17764
6/26/17,1375,204,6,77631.67764
6/27/17,1375,204,6,77631.67764
6/28/17,1375,204,6,77631.67764
6/29/17,1375,204,6,94598.79864
6/30/17,1375,204,6,105331.7361
7/1/17,1375,204,6,96682.07214
7/2/17,1375,204,6,98136.50814
7/3/17,1375,204,6,98136.50814
7/4/17,1375,204,6,99128.60549
7/5/17,1375,204,6,99142.57181
7/6/17,1375,204,6,99142.57181
7/7/17,1375,204,6,99142.57181
7/8/17,1375,204,6,102440.968
7/9/17,1375,204,6,100686.532
7/10/17,1375,204,6,100686.532
7/11/17,1375,204,6,100767.662
7/12/17,1375,204,6,102451.64
7/13/17,1375,204,6,98629.88267
7/14/17,1375,204,6,98629.88267
7/15/17,1375,204,6,95429.88267
7/16/17,1375,204,6,95429.88267
7/17/17,1375,204,6,90162.48267
7/18/17,1375,204,6,93544.98267
7/19/17,1375,204,6,94043.54267
7/20/17,1375,204,6,96712.91187
7/21/17,1375,204,6,97185.94412
7/22/17,1375,204,6,97795.44572
7/23/17,1375,204,6,98124.07572
7/24/17,1375,204,6,82090.44772
7/25/17,1375,204,6,90596.29627
7/26/17,1375,204,6,90986.67824
7/27/17,1375,204,6,93352.64824
7/28/17,1375,204,6,93532.04137
7/29/17,1375,204,6,92675.61337
7/30/17,1375,204,6,95977.92998
7/31/17,1375,204,6,96241.20598
8/1/17,1375,204,6,96727.20598
8/2/17,1375,204,6,97175.20598
8/3/17,1375,204,6,96958.73178
8/4/17,1375,204,6,111462.6798
8/5/17,1375,204,6,124774.0508
8/6/17,1375,204,6,144390.9514
8/7/17,1375,204,6,146226.8074
8/8/17,1375,204,6,148843.2581
8/9/17,1375,204,6,65922.98757
8/10/17,1375,204,6,63462.58257
8/11/17,1375,204,6,64282.71757
8/12/17,1375,204,6,51484.6384
8/13/17,1375,204,6,53100.952
8/14/17,1375,204,6,53100.952
8/15/17,1375,204,6,53100.952
8/16/17,1375,204,6,51860.02
8/17/17,1375,204,6,54865.34832
8/18/17,1375,204,6,64674.96512
8/19/17,1375,204,6,62632.88812
8/20/17,1375,204,6,62355.12812
8/21/17,1375,204,6,62355.12812
8/22/17,1375,204,6,61804.79812
8/23/17,1375,204,6,63809.17315
8/24/17,1375,204,6,63176.72515
8/25/17,1375,204,6,63176.72515
8/26/17,1375,204,6,61844.02363
8/27/17,1375,204,6,59515.39003
8/28/17,1375,204,6,59515.39003
8/29/17,1375,204,6,59515.39003
8/30/17,1375,204,6,66557.65003
8/31/17,1375,204,6,65737.51503
9/1/17,1375,204,6,69844.00765
9/2/17,1375,204,6,65759.83265
9/3/17,1375,204,6,65217.71065
9/4/17,1375,204,6,65217.71065
9/5/17,1375,204,6,73624.70665
9/6/17,1375,204,6,73624.70665
9/7/17,1375,204,6,73624.70665
9/8/17,1375,204,6,73624.70665
9/9/17,1375,204,6,66859.70665
9/10/17,1375,204,6,71345.70035
9/11/17,1375,204,6,74343.47635
9/12/17,1375,204,6,73859.04335
9/13/17,1375,204,6,73238.57735
9/14/17,1375,204,6,70914.94608
9/15/17,1375,204,6,86968.37275
9/16/17,1375,204,6,74963.89275
9/17/17,1375,204,6,74963.89275
9/18/17,1375,204,6,71302.01775
9/19/17,1375,204,6,66746.90715
9/20/17,1375,204,6,73939.0929
9/21/17,1375,204,6,69653.6349
9/22/17,1375,204,6,72700.4999
9/23/17,1375,204,6,73974.4999
9/24/17,1375,204,6,83888.8009
9/25/17,1375,204,6,84306.74999
9/26/17,1375,204,6,84306.74999
9/27/17,1375,204,6,84306.74999
9/28/17,1375,204,6,282275.0044
9/29/17,1375,204,6,94763.51914
9/30/17,1375,204,6,94654.84414
10/1/17,1375,204,6,99150.02182
10/2/17,1375,204,6,100105.6148
10/3/17,1375,204,6,96679.56742
10/4/17,1375,204,6,109721.3913
10/5/17,1375,204,6,112941.6813
10/6/17,1375,204,6,109449.9413
10/7/17,1375,204,6,110605.3993
10/8/17,1375,204,6,109785.2643
10/9/17,1375,204,6,115907.9449
10/10/17,1375,204,6,115907.9449
10/11/17,1375,204,6,119707.8933
10/12/17,1375,204,6,124138.1343
10/13/17,1375,204,6,128371.7343
10/14/17,1375,204,6,120833.3343
10/15/17,1375,204,6,121786.1343
10/16/17,1375,204,6,121707.9343
10/17/17,1375,204,6,121707.9343
10/18/17,1375,204,6,111920.0809
10/19/17,1375,204,6,113719.8496
10/20/17,1375,204,6,98405.88056
10/21/17,1375,204,6,107614.9865
10/22/17,1375,204,6,107614.9865
10/23/17,1375,204,6,105815.2178
10/24/17,1375,204,6,105815.2178
10/25/17,1375,204,6,110998.8247
10/26/17,1375,204,6,123767.5247
10/27/17,1375,204,6,126243.2747
10/28/17,1375,204,6,125610.8267
10/29/17,1375,204,6,126596.4113
10/30/17,1375,204,6,117636.8803
10/31/17,1375,204,6,129032.4443
11/1/17,1375,204,6,120058.0528
11/2/17,1375,204,6,222677.1703
11/3/17,1375,204,6,102135.5032
11/4/17,1375,204,6,104634.0912
11/5/17,1375,204,6,114402.8562
11/6/17,1375,204,6,118394.5343
11/7/17,1375,204,6,118034.2343
11/8/17,1375,204,6,98504.48433
11/9/17,1375,204,6,106197.6043
11/10/17,1375,204,6,105861.0027
11/11/17,1375,204,6,106636.9281
11/12/17,1375,204,6,103853.8251
11/13/17,1375,204,6,104314.9461
11/14/17,1375,204,6,65859.18277
11/15/17,1375,204,6,64034.5685
11/16/17,1375,204,6,65100.09546
11/17/17,1375,204,6,93177.89774
11/18/17,1375,204,6,92966.0518
11/19/17,1375,204,6,88042.23244
11/20/17,1375,204,6,85591.43798
11/21/17,1375,204,6,82616.00484
11/22/17,1375,204,6,86730.46884
11/23/17,1375,204,6,66559.88124
11/24/17,1375,204,6,80953.77508
11/25/17,1375,204,6,88452.78074
11/26/17,1375,204,6,98433.86974
11/27/17,1375,204,6,99442.34376
11/28/17,1375,204,6,95313.40248
11/29/17,1375,204,6,94698.51198
11/30/17,1375,204,6,82979.2745
12/1/17,1375,204,6,103149.8438
12/2/17,1375,204,6,97742.64781
12/3/17,1375,204,6,97308.17781
12/4/17,1375,204,6,94854.82785
12/5/17,1375,204,6,64259.17939
12/6/17,1375,204,6,57665.56963
12/7/17,1375,204,6,68643.05863
12/8/17,1375,204,6,69882.39963
12/9/17,1375,204,6,94775.12063
12/10/17,1375,204,6,96574.44125
12/11/17,1375,204,6,121732.2782
12/12/17,1375,204,6,159018.5412
12/13/17,1375,204,6,154713.663
12/14/17,1375,204,6,160211.117
12/15/17,1375,204,6,162652.9306
12/16/17,1375,204,6,159665.4362
12/17/17,1375,204,6,171529.6912
12/18/17,1375,204,6,167622.7025
12/19/17,1375,204,6,168067.9537
12/20/17,1375,204,6,124274.0702
12/21/17,1375,204,6,102983.5652
12/22/17,1375,204,6,92836.81018
12/23/17,1375,204,6,85840.7079
12/24/17,1375,204,6,80727.014
12/25/17,1375,204,6,84690.8043
12/26/17,1375,204,6,86787.4443
12/27/17,1375,204,6,75001.37767
12/28/17,1375,204,6,76516.62767
12/29/17,1375,204,6,76516.62767
12/30/17,1375,204,6,76392.87767
12/31/17,1375,204,6,76972.65583
1/1/18,1375,204,6,76972.65583
1/2/18,1375,204,6,91155.45779
1/3/18,1375,204,6,93477.45779
1/4/18,1375,204,6,93553.93779
1/5/18,1375,204,6,110398.4243
1/6/18,1375,204,6,114276.4006
1/7/18,1375,204,6,109990.1141
1/8/18,1375,204,6,112197.0941
1/9/18,1375,204,6,110739.1566
1/10/18,1375,204,6,82222.81846
1/11/18,1375,204,6,67934.62096
1/12/18,1375,204,6,72593.19346
1/13/18,1375,204,6,68594.12746
1/14/18,1375,204,6,69426.12746
1/15/18,1375,204,6,69426.12746
1/16/18,1375,204,6,72808.62746
1/17/18,1375,204,6,74681.30246
1/18/18,1375,204,6,61381.51046
1/19/18,1375,204,6,79972.44194
1/20/18,1375,204,6,86671.19194
1/21/18,1375,204,6,85701.56794
1/22/18,1375,204,6,85701.56794
1/23/18,1375,204,6,85701.56794
1/24/18,1375,204,6,85701.56794
1/25/18,1375,204,6,85701.56794
1/26/18,1375,204,6,85701.56794
1/27/18,1375,204,6,85701.56794
1/28/18,1375,204,6,83205.52054
1/29/18,1375,204,6,85701.56794
1/30/18,1375,204,6,86258.44294
1/31/18,1375,204,6,86258.44294
2/1/18,1375,204,6,94729.21294
2/2/18,1375,204,6,94718.21294
2/3/18,1375,204,6,82490.9545
2/4/18,1375,204,6,81161.178
2/5/18,1375,204,6,81862.853
2/6/18,1375,204,6,81862.853
2/7/18,1375,204,6,87825.2694
2/8/18,1375,204,6,235457.2694
2/9/18,1375,204,6,186127.1444
2/10/18,1375,204,6,233448.5269
2/11/18,1375,204,6,198287.5032
2/12/18,1375,204,6,115096.5032
2/13/18,1375,204,6,107066.6822
2/14/18,1375,204,6,120456.1727
2/15/18,1375,204,6,107781.0242
2/16/18,1375,204,6,79009.4405
2/17/18,1375,204,6,75109.5355
2/18/18,1375,204,6,134658.2755
2/19/18,1375,204,6,135894.2755
2/20/18,1375,204,6,135756.0355
2/21/18,1375,204,6,166322.9973
2/22/18,1375,204,6,142110.9973
2/23/18,1375,204,6,142079.3873
2/24/18,1375,204,6,136032.7058
2/25/18,1375,204,6,145752.7058
2/26/18,1375,204,6,115448.9045
2/27/18,1375,204,6,115333.0325
2/28/18,1375,204,6,144946.803
3/1/18,1375,204,6,161324.9026
3/2/18,1375,204,6,127901.9026
3/3/18,1375,204,6,118856.9026
3/4/18,1375,204,6,120476.9026
3/5/18,1375,204,6,99879.70264
3/6/18,1375,204,6,101424.484
3/7/18,1375,204,6,116022.6295
3/8/18,1375,204,6,110921.5236
3/9/18,1375,204,6,111368.1306
3/10/18,1375,204,6,111811.2991
3/11/18,1375,204,6,112182.5491
3/12/18,1375,204,6,101245.544
3/13/18,1375,204,6,101616.794
3/14/18,1375,204,6,112029.3786
3/15/18,1375,204,6,111534.3011
3/16/18,1375,204,6,120109.6142
